Владивосток VLDK
Уссурийск USSR
Находка NHDK
Артём ARTM
Арсеньев ARSN
Большой_Камень KAMN
Спасск_Дальний SPSK
Лесозаводск LSZV
Партизанск PRTZ
Дальнегорск DGRS
Дальнереченск DRCH
Фокино FOKN
Трудовое TRUD
Лучегорск LUCH
Кавалерово KAVL
Славянка SLAV
Пограничный POGR
Ярославский YARS
Кировский KIRV
Новошахтинский NVSH
Дунай DUNA
Сибирцево SIBR
Преображение PRBR
Липовцы LIPV
Смоляниново SMOL
Кневичи KNEV
Пластун PLAS
Русский RUSS
Шкотово SHKT
Горные_Ключи KLCH
Ольга OLGA
Терней TERN
Хрустальный HRST
Зарубино ZARB
Лазо LAZO
Краскино KRAS
Авангард AVAN
Рудная_Пристань PRIS
Посьет POSE
Сержантово SRZH
Приморский PRIM
Ружино RUZH
Хасан HASN
Тимофеевка TIMF
Береговое BRGV
Ясное YASN
Невское NEVS
Суходол SHDL
Черемшаны CHRM
Тургенево TURG
Раздольное RAZD
Казанка KAZN
Занадворовка ZNDV
Ивановка IVAN
Зайсановка ZAYS
Сухановка SHNV
Барабаш BARB
Анучино ANCH
Сергеевка SERG
Григорьевка GRIG
