Владивосток VLDK
Уссурийск USSR
Находка NHDK
Артём ARTM
Арсеньев ARSN
Большой_Камень KAMN
Спасск_Дальний SPSK
Лесозаводск LZVD
Партизанск PART
Дальнегорск DGOR
Дальнереченск DRCH
Фокино FOKN
Трудовое TRUD
Лучегорск LUCH
Кавалерово KAVL
Славянка SLAV
Пограничный POGR
Ярославский YRSL
Кировский KIRV
Новошахтинский NVSH
Дунай DUNA
Сибирцево SIBR
Преображение PRBR
Липовцы LIPV
Смоляниново SMOL
Кневичи KNEV
Пластун PLAS
Русский RUSS
Шкотово SHKT
Горные_Ключи KLCH
Ольга OLGA
Терней TERN
Хрустальный HRST
Зарубино ZARB
Лазо LAZO
Краскино KRAS
Авангард AVAN
Рудная_Пристань PRIS
Посьет POSE
Сержантово SRZH
Приморский PRIM
Ружино RUZH
Хасан HASN
Тимофеевка TIMF
Береговое BERG
Ясное YASN
Невское NVSK
Суходол SHDL
Черемшаны CHER
Тургенево TURG
Раздольное RAZD
Казанка KAZN
Занадворовка ZAND
Ивановка IVAN
Зайсановка ZAYS
Сухановка SUHN
Барабаш BARB
Анучино ANCH
Сергеевка SERG
Григорьевка GRIG
